(Parent) ASIN,(Child) ASIN,Title,Sessions,Session Percentage,Page Views,Page Views Percentage,Featured Offer (Buy Box) Percentage,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B07PXTXDGQ,B07NLK1N4F,"KASENTEX Deluxe Quilted Fitted Mattress Pad King Size - 13 Inch Deep Pockets - Brushed Microfiber - Down Alternative Fill, Cozy & Ultra Soft",746,0.03%,909,0.03%,96.15%,58,1,7.77%,0.13%,"$2,673.02",$49.17,55,1
B0992MZWKY,B08L9NR4HP,"KASENTEX 2-Tone Reversible Comforter Set with Plush Down Alternative Filling - Fluffy, Ultra Soft and Machine Washable Bedding Duvet Insert (Twin Set, White)","4,498",0.17%,"5,374",0.15%,93.13%,82,2,1.82%,0.04%,"$3,950.68",$98.98,53,1
B07Q646L5M,B07MPD954P,"KASENTEX Coverlet Quilt Set-Pre Washed-Luxury Microfiber Soft Warm Bedding-Solid Colors Bedspread-Contemporary Floral Design (Deep Celadon Green, Oversized King + 2 Shams)","2,049",0.08%,"2,580",0.07%,99.07%,51,0,2.49%,0.00%,"$2,630.64",$0.00,51,0
B0992XTZWX,B083HS7BWZ,"KASENTEX Luxury Goose Down Alternative Comforter Set with Plush Microfiber Stripe Design, Reversible and Machine Washable (Pewter Grey, Full/Queen Set)","2,322",0.09%,"2,685",0.08%,98.47%,52,1,2.24%,0.04%,"$2,993.93",$54.44,51,1
B08JHC8FSB,B09CDYJNPD,"KASENTEX Seersucker Quilted Comforter All Season Down Alternative Reversible Fluffy Ultra Soft Duvet Insert, Hypoallergenic Machine Washable, Dark Sage Green, Queen Size",930,0.03%,"1,144",0.03%,99.83%,51,0,5.48%,0.00%,"$2,963.50",$0.00,51,0
B08JHC8FSB,B09CF1YFHH,"KASENTEX Seersucker Quilted Comforter All Season Down Alternative Reversible Fluffy Ultra Soft Duvet Insert, Hypoallergenic Machine Washable, Pink, Queen Size","1,618",0.06%,"1,921",0.06%,99.69%,52,0,3.21%,0.00%,"$3,171.48",$0.00,51,0
B09DTLFSF5,B09DLGCTR1,"KASENTEX Queen Quilt Bedding Set Ultra Soft Bedspread Bedding - Lightweight Machine Washable All Season Coverlet Vintage Nostalgic RV Camper and Compass Stitch Design, Grey, Queen Size + 2 Shams","1,771",0.07%,"2,100",0.06%,99.00%,50,0,2.82%,0.00%,"$3,499.50",$0.00,51,0
B09J1LCG51,B09J1L5SZ9,"KASENTEX All Seasons 100% Cotton Goose Down and Feather Duvet Insert - Soft Fluffy White Comforter, 104x90, King Size",630,0.02%,768,0.02%,95.83%,51,1,8.10%,0.16%,"$6,143.61",$159.99,51,1
B077XSRDTN,B07PXLL4SJ,"3 Piece Quilt Mini Set Ultra Soft Machine Washable Lightweight All-Season Nostalgic Design Solid Color (King + 2 King Shams, Red)","2,948",0.11%,"3,561",0.10%,98.43%,50,0,1.70%,0.00%,"$3,039.80",$0.00,50,0
B077XSRDTN,B07PXN8C9T,"KASENTEX 3 Piece Quilt Mini Set Ultra Soft Machine Washable Lightweight All-Season Nostalgic Design Solid Color (Full/Queen + 2 Shams, Red)","3,651",0.13%,"4,371",0.13%,98.15%,56,0,1.53%,0.00%,"$3,182.40",$0.00,50,0
