(Parent) ASIN,(Child) ASIN,Title,Sessions,Session Percentage,Page Views,Page Views Percentage,Featured Offer (Buy Box) Percentage,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B098Y9Y9WG,B07HN8X9F6,"KASENTEX All Season Down Alternative Quilted Comforter Set with Sham(s) - Reversible Ultra Soft Duvet Insert Hypoallergenic Machine Washable, Queen, Pink Potpourri/Quartz Silver","94,408",3.47%,"134,404",3.87%,89.59%,"6,435",61,6.82%,0.06%,"$357,990.28","$3,422.35","6,315",61
B07XJQSD53,B07HN8X9F6,"KASENTEX All Season Down Alternative Quilted Comforter Set with Sham(s) - Reversible Ultra Soft Duvet Insert Hypoallergenic Machine Washable, Queen, Pink Potpourri/Quartz Silver","21,544",0.79%,"29,292",0.84%,93.59%,"3,813",27,17.70%,0.13%,"$215,501.83","$1,521.41","3,789",27
B098Y9Y9WG,B07HNVPR6C,"KASENTEX All Season Down Alternative Quilted Comforter Set Reversible Ultra Soft Duvet Insert Hypoallergenic Machine Washable, Twin, Pink Potpourri/Quartz Silver","70,886",2.61%,"93,173",2.69%,94.46%,"3,677",56,5.19%,0.08%,"$167,954.08","$2,579.63","3,502",47
B098Y9Y9WG,B07X1V1MDS,"KASENTEX All Season Down Alternative Quilted Comforter Set - Reversible Duvet Insert - Machine Washable (Rose/Beige, Queen Set)","46,270",1.70%,"58,498",1.69%,97.38%,"2,552",21,5.52%,0.05%,"$140,644.68","$1,140.53","2,506",21
B07XJQSD53,B07HNVPR6C,"KASENTEX All Season Down Alternative Quilted Comforter Set Reversible Ultra Soft Duvet Insert Hypoallergenic Machine Washable, Twin, Pink Potpourri/Quartz Silver","16,332",0.60%,"21,931",0.63%,95.32%,"2,122",20,12.99%,0.12%,"$97,586.35",$941.58,"1,975",19
B098Y9Y9WG,B07HNSLKJQ,"KASENTEX All Season Down Alternative Quilted Comforter Set Reversible Ultra Soft Duvet Insert Machine Washable, Queen, Quartz Silver/Pebble Grey","31,534",1.16%,"38,979",1.12%,94.01%,"1,960",14,6.22%,0.04%,"$108,372.14",$777.91,"1,929",14
B098Y9Y9WG,B085NQLY4K,"KASENTEX All Season Down Alternative Quilted Comforter Set Reversible Ultra Soft Duvet Insert Machine Washable (Yellow/Grey, Queen Set)","38,423",1.41%,"47,105",1.36%,98.41%,"1,868",10,4.86%,0.03%,"$102,608.93",$546.30,"1,856",10
B098Y9Y9WG,B07HNKC98L,"KASENTEX All Season Down Alternative Quilted Comforter Set Reversible Ultra Soft Duvet Insert Machine Washable, King, Quartz Silver/Pebble Grey","30,462",1.12%,"40,159",1.16%,93.02%,"1,739",18,5.71%,0.06%,"$110,852.75","$1,127.66","1,727",17
B07XJQSD53,B085NQLY4K,"KASENTEX All Season Down Alternative Quilted Comforter Set Reversible Ultra Soft Duvet Insert Machine Washable (Yellow/Grey, Queen Set)","6,871",0.25%,"9,420",0.27%,99.03%,"1,508",12,21.95%,0.17%,"$81,731.73",$652.60,"1,499",12
B08JHF6BYW,B08JHC2TG1,"KASENTEX Luxury Plush Sherpa Comforter, Cozy Reversible - Goose Down Alternative Fill, Machine Washable Bedding, Excalibur Grey, King Size","12,714",0.47%,"16,476",0.47%,97.96%,"1,442",9,11.34%,0.07%,"$97,146.98",$614.11,"1,431",9
B098Y9Y9WG,B07HNCFN7M,"KASENTEX All Season Down Alternative Quilted Comforter Set Reversible Ultra Soft Duvet Insert Hypoallergenic Machine Washable, King, Pink Potpourri/Quartz Silver","22,346",0.82%,"27,815",0.80%,95.77%,"1,379",21,6.17%,0.09%,"$89,378.13","$1,363.82","1,372",21
B07XJQSD53,B07X1V1MDS,"KASENTEX All Season Down Alternative Quilted Comforter Set - Reversible Duvet Insert - Machine Washable (Rose/Beige, Queen Set)","9,312",0.34%,"13,548",0.39%,99.21%,"1,362",12,14.63%,0.13%,"$75,297.37",$653.73,"1,353",11
B07DZVYBBW,B07M6LW93W,"KASENTEX Quilt-Bedding-Coverlet-Blanket-Set, Machine Washable, Ultra Soft, Lightweight, Stone-Washed, Detailed Stitching - Solid Color (Camel, Oversized King + 2 King Shams)","24,803",0.91%,"33,855",0.98%,96.43%,"1,341",14,5.41%,0.06%,"$91,907.32",$953.58,"1,331",14
B098Y9Y9WG,B085NQR1Z8,"KASENTEX All Season Down Alternative Quilted Comforter Set Reversible Ultra Soft Duvet Insert Machine Washable (Yellow/Grey, King Set)","25,623",0.94%,"32,577",0.94%,96.48%,"1,331",12,5.19%,0.05%,"$85,384.22",$766.61,"1,327",12
B07XJQSD53,B07HNKC98L,"KASENTEX All Season Down Alternative Quilted Comforter Set Reversible Ultra Soft Duvet Insert Machine Washable, King, Quartz Silver/Pebble Grey","10,970",0.40%,"15,266",0.44%,99.14%,"1,310",8,11.94%,0.07%,"$85,576.64",$521.95,"1,306",8
B08JHF6BYW,B08JH8J3MT,"KASENTEX Luxury Plush Sherpa Comforter, Cozy Reversible - Goose Down Alternative Fill, Machine Washable Bedding, Excalibur Grey, Queen Size","12,799",0.47%,"16,598",0.48%,97.06%,"1,322",10,10.33%,0.08%,"$77,026.82",$591.39,"1,303",10
B08JHF6BYW,B08JHD1RX9,"KASENTEX Luxury Plush Sherpa Comforter, Cozy Reversible - Goose Down Alternative Fill, Machine Washable Bedding, Excalibur Grey, Twin/Twin XL Size","16,656",0.61%,"21,307",0.61%,96.50%,"1,360",12,8.17%,0.07%,"$67,392.58",$578.38,"1,254",9
B098Y9Y9WG,B07X4YSVY6,"KASENTEX All Season Down Alternative Quilted Comforter Set - Reversible Duvet Insert - Machine Washable (Rose/Beige, King Set)","26,336",0.97%,"34,094",0.98%,94.98%,"1,264",13,4.80%,0.05%,"$81,315.70",$829.77,"1,252",13
B07XJQSD53,B07HNCFN7M,"KASENTEX All Season Down Alternative Quilted Comforter Set Reversible Ultra Soft Duvet Insert Hypoallergenic Machine Washable, King, Pink Potpourri/Quartz Silver","9,794",0.36%,"13,872",0.40%,98.68%,"1,219",11,12.45%,0.11%,"$80,767.38",$724.47,"1,214",11
B07DZVYBBW,B07F11TXQH,"KASENTEX Quilt Mini Set-Stone Washed-Super Soft Bedspread-Light Weight-White Down Alternative Microfiber Fill-Machine Washable-Solid Colors, 2 King Shams, Camel, King + 2 King","22,085",0.81%,"29,236",0.84%,93.66%,"1,209",24,5.47%,0.11%,"$70,861.69","$1,415.71","1,188",19
B07XJQSD53,B085NQR1Z8,"KASENTEX All Season Down Alternative Quilted Comforter Set Reversible Ultra Soft Duvet Insert Machine Washable (Yellow/Grey, King Set)","8,612",0.32%,"11,715",0.34%,99.13%,"1,188",7,13.79%,0.08%,"$76,162.78",$450.24,"1,186",7
B098Y9Y9WG,B07H3D4JSF,"KASENTEX All Season Down Alternative Quilted Comforter Set with Sham(s) -Reversible Ultra Soft Duvet Insert Machine Washable, Queen, Turquoise Sea Green/Twilight Blue","24,053",0.88%,"31,065",0.90%,93.88%,"1,227",15,5.10%,0.06%,"$67,875.92",$831.49,"1,177",15
B08JHF6BYW,B08JHBZ3QK,"KASENTEX Luxury Plush Sherpa Comforter, Cozy Reversible - Goose Down Alternative Fill, Machine Washable Bedding, Sunset Rose, Queen Size","21,304",0.78%,"27,468",0.79%,96.97%,"1,068",10,5.01%,0.05%,"$63,061.44",$576.09,"1,056",10
B07XJQSD53,B07HNSLKJQ,"KASENTEX All Season Down Alternative Quilted Comforter Set Reversible Ultra Soft Duvet Insert Machine Washable, Queen, Quartz Silver/Pebble Grey","4,407",0.16%,"5,757",0.17%,85.69%,"1,063",7,24.12%,0.16%,"$57,927.56",$372.50,"1,053",7
B07JDJ2RDX,B07JBNYK47,"KASENTEX Plush Poly-Velvet Lavish Design Quilt Set with Brushed Microfiber - Luxurious Bedding Soft & Warm Coverlet - Machine Washable Coverlet (Pewter Grey, King + 2 Shams)","17,888",0.66%,"23,936",0.69%,97.53%,"1,047",19,5.85%,0.11%,"$62,689.52","$1,138.02","1,029",18
B07XJQSD53,B07X4YSVY6,"KASENTEX All Season Down Alternative Quilted Comforter Set - Reversible Duvet Insert - Machine Washable (Rose/Beige, King Set)","7,142",0.26%,"10,307",0.30%,99.47%,953,8,13.34%,0.11%,"$60,610.85",$534.10,951,7
B08JHF6BYW,B0947GFVHN,"KASENTEX Luxury Plush Sherpa Comforter, Cozy Reversible Faux Fur Machine Washable Bedding, Grey Blue, Queen Size","7,403",0.27%,"10,211",0.29%,94.55%,931,9,12.58%,0.12%,"$55,060.49",$535.71,918,8
B07DZVYBBW,B07MDXYSVN,"KASENTEX Quilt-Bedding-Coverlet-Blanket-Set, Machine Washable, Ultra Soft, Lightweight, Stone-Washed, Detailed Stitching - Solid Color (Ivory, Oversized King + 2 King Shams)","11,410",0.42%,"14,805",0.43%,99.15%,893,7,7.83%,0.06%,"$61,774.48",$481.65,879,7
B098Y9Y9WG,B07HNS44RY,"KASENTEX All Season Down Alternative Quilted Comforter Set Reversible Ultra Soft Duvet Insert Machine Washable, Queen, Silver Cloud/Chocolate Brown","19,403",0.71%,"23,462",0.68%,95.24%,891,9,4.59%,0.05%,"$49,449.25",$509.49,878,8
B07X8LTKTR,B07JD4YQGK,"KASENTEX Country-Chic Printed Pre-Washed Quilt Set - Microfiber Fabric Quilted Pattern Bedding (Multi-Blue C, Queen + 2 Shams)","19,037",0.70%,"26,475",0.76%,96.60%,878,8,4.61%,0.04%,"$39,744.59",$363.74,871,8
B08BPKL25H,B08BPK3D14,"KASENTEX 5 Piece Bed in A Bag Premium Brushed Microfiber Comforter Bedding Set – Reversible with Down Alternative Filling and Attractive Colors, Twin/Twin XL, Cream Pink","17,107",0.63%,"21,460",0.62%,98.19%,892,20,5.21%,0.12%,"$49,045.96","$1,107.18",848,19
B07DZVYBBW,B07F1315W3,"KASENTEX Quilt Mini Set-Stone Washed-Super Soft Bedspread-Light Weight-White Down Alternative Microfiber Fill-Machine Washable-Solid Colors, Full/Queen +2 Shams, Camel","27,119",1.00%,"35,765",1.03%,95.60%,867,10,3.20%,0.04%,"$47,867.79",$556.98,829,8
B08JHF6BYW,B08JHCWHMY,"KASENTEX Luxury Plush Sherpa Comforter, Cozy Reversible - Goose Down Alternative Fill, Machine Washable Bedding, Sunset Rose, Twin/Twin XL Size","35,226",1.30%,"45,133",1.30%,96.11%,865,13,2.46%,0.04%,"$42,369.81",$645.00,828,11
B07DZVYBBW,B07MRLWWTR,"KASENTEX Quilt-Bedding-Coverlet-Blanket-Set, Machine Washable, Ultra Soft, Lightweight, Stone-Washed, Detailed Stitching - Solid Color (Grey, Oversized King + 2 King Shams)","12,731",0.47%,"16,376",0.47%,99.11%,839,6,6.59%,0.05%,"$56,785.35",$396.84,827,6
B07XJQSD53,B07H3D4JSF,"KASENTEX All Season Down Alternative Quilted Comforter Set with Sham(s) -Reversible Ultra Soft Duvet Insert Machine Washable, Queen, Turquoise Sea Green/Twilight Blue","4,911",0.18%,"6,696",0.19%,93.46%,840,13,17.10%,0.26%,"$46,210.73",$738.11,811,9
B08JHF6BYW,B08JHBDSM4,"KASENTEX Luxury Plush Sherpa Comforter, Cozy Reversible - Goose Down Alternative Fill, Machine Washable Bedding, Sunset Rose, King Size","17,007",0.63%,"21,911",0.63%,96.79%,812,7,4.77%,0.04%,"$55,064.92",$479.02,801,7
B07DZVYBBW,B07DZSCJJ7,"KASENTEX Quilt Mini Set-Stone Washed-Super Soft Bedspread-Light Weight-White Down Alternative Microfiber Fill-Machine Washable-Solid Colors, 2 King Shams, Ivory, King + 2 King","15,230",0.56%,"20,279",0.58%,92.36%,804,10,5.28%,0.07%,"$47,860.74",$608.08,780,10
B098Y9Y9WG,B07H3DM779,"KASENTEX All Season Down Alternative Quilted Comforter Set Reversible Ultra Soft Duvet Insert Hypoallergenic Machine Washable, King, Turquoise Sea Green/Twilight Blue","15,736",0.58%,"19,965",0.58%,95.02%,815,15,5.18%,0.10%,"$52,055.58",$961.28,775,13
B07JDJ2RDX,B07JCFP4KC,"KASENTEX Plush Poly-Velvet Lavish Design Quilt Set with Brushed Microfiber - Luxurious Bedding Soft & Warm Coverlet - Machine Washable Coverlet (Pewter Grey, Queen + 2 Shams)","17,194",0.63%,"23,336",0.67%,93.89%,779,17,4.53%,0.10%,"$43,189.51",$912.52,756,17
B098Y9Y9WG,B07HNKZRKP,"KASENTEX All Season Down Alternative Quilted Comforter Set Reversible Ultra Soft Duvet Insert Machine Washable, Twin, Quartz Silver/Pebble Grey","22,523",0.83%,"26,654",0.77%,93.67%,810,12,3.60%,0.05%,"$36,850.41",$551.75,730,7
B08BPKL25H,B08BPJR1WM,"KASENTEX 5 Piece Bed in A Bag Premium Brushed Microfiber Comforter Bedding Set – Reversible with Down Alternative Filling and Attractive Colors, Twin/Twin XL, Sea Turtle Teal","14,430",0.53%,"18,397",0.53%,98.44%,767,22,5.32%,0.15%,"$41,684.34","$1,206.41",709,20
B07DZVYBBW,B07MRL6JVK,"KASENTEX Quilt-Bedding-Coverlet-Blanket-Set, Machine Washable, Ultra Soft, Lightweight, Stone-Washed, Detailed Stitching - Solid Color (Camel, Oversized Queen + 2 Shams)","17,130",0.63%,"22,249",0.64%,97.33%,725,9,4.23%,0.05%,"$46,044.44",$594.24,700,5
B07DZVYBBW,B07WYVWJSX,"KASENTEX Quilt-Bedding-Coverlet-Blanket-Set, Machine Washable, Ultra Soft, Lightweight, Stone-Washed, Detailed Stitching - Solid Color (Ivory, Full/Queen + 2 Shams)","17,171",0.63%,"21,317",0.61%,96.19%,735,32,4.28%,0.19%,"$40,375.26","$1,756.90",668,15
B07DZVYBBW,B07F11PDXJ,"KASENTEX Quilt Mini Set-Stone Washed-Super Soft Bedspread-Light Weight-White Down Alternative Microfiber Fill-Machine Washable-Solid Colors, Full/Queen + 2 Shams, Grey","17,142",0.63%,"21,321",0.61%,95.48%,670,8,3.91%,0.05%,"$36,575.65",$445.64,652,6
B07JDJ2RDX,B07JD2NG2B,"KASENTEX Plush Poly-Velvet Lavish Design Quilt Set with Brushed Microfiber - Luxurious Bedding Soft & Warm Coverlet - Machine Washable Coverlet (Birch Sand, King + 2 Shams)","14,139",0.52%,"17,899",0.52%,99.13%,659,13,4.66%,0.09%,"$39,575.59",$775.09,652,11
B07JDJ2RDX,B07JVTJRL1,"KASENTEX Plush Poly Velvet Lavish Design Quilt Set with Reversible Shu Velveteen Sherpa - Luxurious Bedding Soft & Warm Comforter Machine Washable Comforter (Heavenly Blue, King + 2 Shams)","18,528",0.68%,"25,470",0.73%,86.71%,660,5,3.56%,0.03%,"$45,861.62",$347.85,648,4
B07X8LTKTR,B07JD53VP8,"KASENTEX Country-Chic Printed Pre-Washed Quilt Set - Microfiber Fabric Quilted Pattern Bedding (Purple Floral, Queen + 2 Shams)","14,449",0.53%,"18,437",0.53%,98.97%,651,7,4.51%,0.05%,"$29,444.09",$315.74,647,7
B07XJQSD53,B07H3DM779,"KASENTEX All Season Down Alternative Quilted Comforter Set Reversible Ultra Soft Duvet Insert Hypoallergenic Machine Washable, King, Turquoise Sea Green/Twilight Blue","6,604",0.24%,"9,433",0.27%,98.36%,645,10,9.77%,0.15%,"$41,856.90",$638.58,642,10
B098Y9Y9WG,B07HNKPX65,"KASENTEX All Season Down Alternative Quilted Comforter Set Reversible Ultra Soft Duvet Insert Machine Washable, King, Silver Cloud/Chocolate Brown","13,536",0.50%,"16,430",0.47%,95.24%,643,6,4.75%,0.04%,"$40,695.13",$381.89,642,6
B08BPKL25H,B08BPLNNRY,"KASENTEX 5 Piece Bed in A Bag Premium Brushed Microfiber Comforter Bedding Set – Reversible with Down Alternative Filling and Attractive Colors, Twin/Twin XL, Sunshine Yellow","15,635",0.58%,"19,300",0.56%,98.36%,685,37,4.38%,0.24%,"$37,395.37","$1,898.59",623,24
B07DZVYBBW,B07F11QK3K,"KASENTEX Quilt Mini Set-Stone Washed-Super Soft Bedspread-Light Weight-White Down Alternative Microfiber Fill-Machine Washable, 2 King Shams, Solid Grey, King + 2 King","13,526",0.50%,"16,724",0.48%,95.47%,630,24,4.66%,0.18%,"$36,868.18","$1,445.58",619,18
B098Y9Y9WG,B07X1V173Y,"KASENTEX All Season Down Alternative Quilted Comforter Set - Reversible Duvet Insert - Machine Washable (Rose/Beige, Twin Set)","29,721",1.09%,"38,532",1.11%,89.41%,663,9,2.23%,0.03%,"$30,537.02",$419.15,619,7
B07X8LTKTR,B07JDKP4S4,"KASENTEX Quilt-Bedding-Coverlet Sets, Pre-Washed Colorful Microfiber Fabric Design with Shams (Multi-Blue C, King + 2 Shams)","11,321",0.42%,"15,619",0.45%,96.55%,622,16,5.49%,0.14%,"$31,409.78",$795.64,615,15
B098Y9Y9WG,B07H3B4DGM,"KASENTEX All Season Down Alternative Quilted Comforter Set with Sham(s) -Reversible Ultra Soft Duvet Insert Machine Washable, Twin, Turquoise Sea Green/Twilight Blue","18,071",0.66%,"21,707",0.63%,95.45%,647,12,3.58%,0.07%,"$29,496.12",$556.73,592,10
B07XJQSD53,B07HNKPX65,"KASENTEX All Season Down Alternative Quilted Comforter Set Reversible Ultra Soft Duvet Insert Machine Washable, King, Silver Cloud/Chocolate Brown","7,348",0.27%,"10,461",0.30%,98.14%,590,8,8.03%,0.11%,"$38,692.32",$532.88,590,8
B08JHF6BYW,B0947GR61T,"KASENTEX Luxury Plush Sherpa Comforter, Cozy Reversible Faux Fur Machine Washable Bedding, Cloud Blue, Queen Size","6,340",0.23%,"8,251",0.24%,97.62%,596,4,9.40%,0.06%,"$35,296.85",$238.76,585,4
B07JDJ2RDX,B07JBP6X49,"KASENTEX Plush Poly Velvet Lavish Design Quilt Set with Reversible Shu Velveteen Sherpa - Luxurious Bedding Soft & Warm Comforter Machine Washable Comforter (Taupe Brown, King + 2 Shams)","12,858",0.47%,"17,829",0.51%,93.49%,598,6,4.65%,0.05%,"$41,374.13",$427.18,583,5
B098Y9Y9WG,B08L9MYD3M,"KASENTEX All Season Down Alternative Quilted Comforter Set Reversible Ultra Soft Duvet Insert Machine Washable (White, Queen Set)","14,661",0.54%,"18,188",0.52%,92.75%,586,12,4.00%,0.08%,"$32,522.87",$673.91,557,3
B07JDJ2RDX,B07JCFP18S,"KASENTEX Plush Poly Velvet Lavish Design Quilt Set with Reversible Shu Velveteen Sherpa - Luxurious Bedding Soft & Warm Comforter Machine Washable Comforter (Heavenly Blue, Queen + 2 Shams)","17,343",0.64%,"22,285",0.64%,95.90%,545,10,3.14%,0.06%,"$32,874.32",$600.14,530,10
B08JHF6BYW,B0948D1793,"KASENTEX Luxury Plush Sherpa Comforter, Cozy Reversible Faux Fur Machine Washable Bedding, Cloud Blue, Twin/Twin XL Size","7,849",0.29%,"9,921",0.29%,96.59%,561,7,7.15%,0.09%,"$27,088.92",$346.93,521,6
B07DZVYBBW,B07MBBY78F,"KASENTEX Quilt-Bedding-Coverlet-Blanket-Set, Machine Washable, Ultra Soft, Lightweight, Stone-Washed, Detailed Stitching - Solid Color (Dark Grey, Oversized King + 2 King Shams)","7,659",0.28%,"10,069",0.29%,99.20%,523,5,6.83%,0.07%,"$36,705.24",$346.45,520,5
B08JHF6BYW,B0947GS2N8,"KASENTEX Luxury Plush Sherpa Comforter, Cozy Reversible Faux Fur Machine Washable Bedding, Grey Blue, King Size","5,446",0.20%,"7,035",0.20%,99.19%,518,5,9.51%,0.09%,"$35,495.34",$339.45,517,5
B07JDJ2RDX,B07JVRL1NB,"KASENTEX Plush Poly-Velvet Lavish Design Quilt Set with Brushed Microfiber - Luxurious Bedding Soft & Warm Coverlet - Machine Washable Coverlet (Birch Sand, Queen + 2 Shams)","16,025",0.59%,"20,966",0.60%,96.99%,531,9,3.31%,0.06%,"$29,028.57",$475.66,509,7
B098Y9Y9WG,B085NQQWHM,"KASENTEX All Season Down Alternative Quilted Comforter Set Reversible Ultra Soft Duvet Insert Machine Washable (Yellow/Grey, Twin Set)","37,093",1.36%,"44,338",1.28%,96.53%,522,7,1.41%,0.02%,"$23,842.15",$306.18,494,7
B07DZVYBBW,B07M6LXZZZ,"KASENTEX Quilt-Bedding-Coverlet-Blanket-Set, Machine Washable, Ultra Soft, Lightweight, Stone-Washed, Detailed Stitching - Solid Color (Grey, Oversized Queen + 2 Shams)","9,775",0.36%,"12,182",0.35%,99.41%,502,11,5.14%,0.11%,"$32,626.11",$694.05,490,11
B07JDJ2RDX,B07JDD8GSH,"KASENTEX Plush Poly Velvet Lavish Design Quilt Set with Reversible Shu Velveteen Sherpa - Luxurious Bedding Soft & Warm Comforter Machine Washable Comforter (Rosy Mauve, King + 2 Shams)","18,483",0.68%,"24,396",0.70%,95.82%,483,5,2.61%,0.03%,"$33,893.17",$349.65,478,4
B07HHZGH13,B07HJ28RXK,"Kasentex Luxurious Quilted Embroidery Patchwork Sham Pre-Washed 100% Machine Washable(Blue, 26x20in, 2 Pieces)","1,581",0.06%,"2,430",0.07%,99.09%,510,0,32.26%,0.00%,"$21,267.01",$0.00,477,0
B07XJQSD53,B07HNS44RY,"KASENTEX All Season Down Alternative Quilted Comforter Set Reversible Ultra Soft Duvet Insert Machine Washable, Queen, Silver Cloud/Chocolate Brown","5,021",0.18%,"7,398",0.21%,94.61%,484,7,9.64%,0.14%,"$26,853.38",$405.27,477,7
B077XSRDTN,B077NYH39X,"KASENTEX Quilt-Coverlet-Bedspread-Blanket-Set + Two Shams, Ultra Soft, Machine Washable, Lightweight, All-Season, Nostalgic Design - Solid Color (Queen + 2 Shams, Blue)","9,421",0.35%,"12,283",0.35%,95.26%,499,6,5.30%,0.06%,"$28,085.73",$333.64,475,5
B07DZVYBBW,B07MHJR4KX,"KASENTEX Quilt-Bedding-Coverlet-Blanket-Set, Machine Washable, Ultra Soft, Lightweight, Stone-Washed, Detailed Stitching - Solid Color (Blue, Oversized King + 2 King Shams)","13,446",0.49%,"16,901",0.49%,98.59%,476,3,3.54%,0.02%,"$33,185.97",$212.89,475,3
B08JHF6BYW,B0947HKY1W,"KASENTEX Luxury Plush Sherpa Comforter, Cozy Reversible Faux Fur Machine Washable Bedding, Grey Blue, Twin/Twin XL Size","6,697",0.25%,"8,556",0.25%,96.69%,528,15,7.88%,0.22%,"$25,796.20",$736.35,473,8
B08BPKL25H,B08BPKL5XX,"KASENTEX 7 Piece Bed in A Bag Premium Brushed Microfiber Comforter Bedding Set – Reversible with Down Alternative Filling and Attractive Colors, Full/Queen, Sunshine Yellow","10,511",0.39%,"12,973",0.37%,98.00%,468,7,4.45%,0.07%,"$32,647.15",$487.83,466,7
B0992MZWKY,B089WGKNKH,"KASENTEX 2-Tone Reversible Comforter Set with Plush Down Alternative Filling - Fluffy, Ultra Soft, and Machine Washable Bedding Duvet Insert, Queen, Sea Turtle Teal/Caribbean Blue","9,676",0.36%,"12,152",0.35%,99.05%,463,6,4.79%,0.06%,"$27,378.78",$356.34,457,6
B077XSRDTN,B077NTWLJT,"KASENTEX Quilt-Coverlet-Bedspread-Blanket-Set + Two Shams, Ultra Soft, Machine Washable, Lightweight, All-Season, Nostalgic Design - Solid Color (King + 2 Shams, Blue)","9,653",0.36%,"12,453",0.36%,94.70%,461,9,4.78%,0.09%,"$28,292.80",$543.83,455,9
B07JDJ2RDX,B07JCFNY37,"Kasentex Plush Poly Velvet Lavish Design Quilt Set with Reversible Shu Velveteen Sherpa - Luxurious Bedding Soft & Warm Comforter Machine Washable Comforter (Taupe Brown, Queen + 2 Shams)","16,830",0.62%,"22,241",0.64%,97.01%,463,6,2.75%,0.04%,"$27,916.05",$348.54,454,5
B08JHF6BYW,B0948G2LZL,"KASENTEX Luxury Plush Sherpa Comforter, Cozy Reversible Faux Fur Machine Washable Bedding, Purple, Twin/Twin XL Size","6,711",0.25%,"8,398",0.24%,96.51%,466,10,6.94%,0.15%,"$22,713.85",$480.90,453,9
B077XSRDTN,B077NY43VV,"KASENTEX Quilt-Coverlet-Bedspread-Blanket-Set + Two Shams, Ultra Soft, Machine Washable, Lightweight, All-Season, Nostalgic Design - Solid Color (Queen + 2 Shams, Green)","13,323",0.49%,"17,252",0.50%,97.39%,470,6,3.53%,0.05%,"$26,371.90",$328.29,448,6
B08JHF6BYW,B09486F1RR,"KASENTEX Luxury Plush Sherpa Comforter, Cozy Reversible Faux Fur Machine Washable Bedding, Cloud Blue, King Size","5,264",0.19%,"6,816",0.20%,99.31%,448,4,8.51%,0.08%,"$30,202.65",$268.06,448,4
B07JDJ2RDX,B07JDDGHCM,"KASENTEX Plush Poly-Velvet Lavish Design Quilt Set with Brushed Microfiber - Luxurious Bedding Soft & Warm Coverlet - Machine Washable Coverlet (Dust Rose Pink, Queen + 2 Shams)","16,219",0.60%,"20,600",0.59%,97.85%,451,17,2.78%,0.10%,"$24,968.30",$920.46,446,16
B07JDJ2RDX,B07JCPCZD6,"KASENTEX Plush Poly Velvet Lavish Design Quilt Set - Luxurious Bedding Soft & Warm Machine Washable Bedspread (Dust Rose Pink, King + 2 Shams)","13,568",0.50%,"17,180",0.50%,97.32%,438,3,3.23%,0.02%,"$26,719.11",$192.72,436,3
B07XJQSD53,B085NQQWHM,"KASENTEX All Season Down Alternative Quilted Comforter Set Reversible Ultra Soft Duvet Insert Machine Washable (Yellow/Grey, Twin Set)","4,001",0.15%,"5,312",0.15%,98.81%,489,7,12.22%,0.17%,"$21,807.18",$306.17,434,5
B098Y9Y9WG,B07X522DCD,"KASENTEX All Season Down Alternative Quilted Comforter Set - Reversible Duvet Insert - Machine Washable (Navy/Coral, Queen Set)","19,261",0.71%,"21,630",0.62%,98.95%,435,5,2.26%,0.03%,"$24,212.93",$273.27,429,5
B07X8LTKTR,B07JCJ3T75,"KASENTEX Country-Chic Printed Pre-Washed Quilt Set - Microfiber Fabric Quilted Pattern Bedding (Purple Floral, King + 2 Shams)","7,275",0.27%,"9,536",0.27%,98.06%,423,5,5.81%,0.07%,"$21,262.81",$251.59,420,4
B08JHF6BYW,B0947HXHFH,"KASENTEX Luxury Plush Sherpa Comforter, Cozy Reversible Faux Fur Machine Washable Bedding, Purple, Queen Size","7,575",0.28%,"9,169",0.26%,99.17%,413,6,5.45%,0.08%,"$24,461.46",$348.54,410,6
B07DZVYBBW,B07DZSG1KV,"KASENTEX Quilt-Bedding-Coverlet-Blanket-Set, Machine Washable, Ultra Soft, Lightweight, Stone-Washed, Detailed Stitching-Solid Color, Full/Queen + 2 Shams, Grey Blue","14,178",0.52%,"17,483",0.50%,97.19%,425,8,3.00%,0.06%,"$23,678.83",$440.98,409,4
B07DZVYBBW,B07DZW8Y4S,"KASENTEX Quilt-Bedding-Coverlet-Blanket-Set, Machine Washable, Ultra Soft, Lightweight, Stone-Washed, Detailed Stitching - Solid Color, King + 2 Shams, Dark Grey","10,529",0.39%,"12,869",0.37%,98.70%,407,10,3.87%,0.09%,"$25,134.37",$604.03,395,5
B098Y9Y9WG,B08L9N9L9T,"KASENTEX All Season Down Alternative Quilted Comforter Set Reversible Ultra Soft Duvet Insert Machine Washable (White, King Set)","9,140",0.34%,"10,641",0.31%,99.03%,412,8,4.51%,0.09%,"$26,506.96",$525.94,394,5
B08JHF6BYW,B0948GJ3D6,"KASENTEX Luxury Plush Sherpa Comforter, Cozy Reversible Faux Fur Machine Washable Bedding, Bright White, Queen Size","4,431",0.16%,"5,532",0.16%,98.92%,403,4,9.10%,0.09%,"$23,925.77",$229.76,392,4
B07DZVYBBW,B07DZRH87S,"KASENTEX Quilt-Bedding-Coverlet-Blanket-Set, Machine Washable, Ultra Soft, Lightweight, Stone-Washed, Detailed Stitching - Solid Color, Full/Queen + 2 Shams, Dark Grey","13,123",0.48%,"15,839",0.46%,95.81%,418,7,3.19%,0.05%,"$23,042.49",$390.39,387,6
