"A 'Brand Catalog' is a combination of Brand (Wayfair, AllModern, Birch Lane, Perigold, Joss & Main), catalog (US, UK, Germany) and language (English, French).",The term the customer typed into the search bar,The primary class associated with the search term,The total number of impressions of the search term in the last 30 days,"Of the total impressions per class, what was the percentage of impressions for this search term",The percentage of searches where any 1 sku from the supplier appeared whether paid or organic,The percentage of searches where any 1 sku from the supplier appeared on the first page,The percentage of searches where any 1 sku from the supplier appeared on the first page in the top 8 slots
Wayfair US,lightweight summer quilts,Bedding Sets,174,0.07%,12.64%,11.49%,1.72%
Wayfair US,taupe comforter,Bedding Sets,173,0.07%,68.21%,58.96%,53.76%
Wayfair US,oversized cal king quilts,Bedding Sets,171,0.07%,36.26%,35.67%,35.09%
Wayfair US,queen quilt set,Bedding Sets,169,0.07%,67.46%,59.17%,13.02%
Wayfair US,comforter queen,Bedding Sets,169,0.07%,60.95%,51.48%,27.81%
Wayfair US,cotton comforter,Bedding Sets,168,0.07%,12.5%,11.9%,1.19%
Wayfair US,navy quilt,Bedding Sets,167,0.06%,59.88%,46.11%,5.39%
Wayfair US,full size bedding set,Bedding Sets,165,0.06%,26.67%,18.18%,1.82%
Wayfair US,100 percent cotton quilts,Bedding Sets,165,0.06%,29.7%,15.15%,9.09%
Wayfair US,red comforter,Bedding Sets,164,0.06%,57.32%,45.73%,25%
Wayfair US,white king comforter,Bedding Sets,164,0.06%,46.95%,32.32%,6.1%
Wayfair US,twin coverlet,Bedding Sets,164,0.06%,57.93%,47.56%,16.46%
Wayfair US,king size comforter set,Bedding Sets,163,0.06%,57.67%,47.85%,34.36%
Wayfair US,extra large king size quilt,Bedding Sets,163,0.06%,71.78%,57.06%,38.65%
Wayfair US,full bedding set,Bedding Sets,161,0.06%,18.01%,11.18%,1.24%
Wayfair US,lavender or purple bedspreads,Bedding Sets,161,0.06%,90.06%,88.82%,87.58%
Wayfair US,twin bed comforter sets,Bedding Sets,161,0.06%,64.6%,55.9%,26.09%
Wayfair US,navy blue comforter,Bedding Sets,160,0.06%,64.38%,55.63%,28.13%
Wayfair US,boho quilt,Bedding Sets,159,0.06%,20.13%,10.69%,1.26%
Wayfair US,california king bedding,Bedding Sets,158,0.06%,10.13%,7.59%,1.9%
Wayfair US,full size comforter sets,Bedding Sets,158,0.06%,63.29%,51.9%,28.48%
Wayfair US,blush bedding,Bedding Sets,157,0.06%,47.77%,31.85%,11.47%
Wayfair US,king bed pillows,Standard Bed Pillows,157,2.16%,37.58%,32.48%,5.1%
Wayfair US,white quilt set,Bedding Sets,156,0.06%,48.08%,42.31%,27.56%
Wayfair US,full size quilt,Bedding Sets,155,0.06%,34.19%,30.97%,3.23%
Wayfair US,oversized queen comforter,Bedding Sets,154,0.06%,57.79%,47.4%,4.55%
Wayfair US,oversized cal king comforters,Bedding Sets,153,0.06%,28.76%,26.14%,20.92%
Wayfair US,oversized comforter,Bedding Sets,151,0.06%,61.59%,58.28%,3.97%
Wayfair US,twin bed spread,Bedding Sets,151,0.06%,42.38%,30.46%,13.91%
Wayfair US,girls comforter set,Bedding Sets,151,0.06%,47.02%,42.38%,35.1%
Wayfair US,dark purple comforter sets,Bedding Sets,150,0.06%,34.67%,4%,1.33%
Wayfair US,lavender bedding,Bedding Sets,150,0.06%,36.67%,18.67%,9.33%
Wayfair US,queen size quilt sets,Bedding Sets,149,0.06%,68.46%,50.34%,15.44%
Wayfair US,daybed comforter set,Bedding Sets,149,0.06%,20.13%,20.13%,0%
Wayfair US,100 cotton comforter set queen,Bedding Sets,149,0.06%,20.81%,7.38%,2.01%
