"A 'Brand Catalog' is a combination of Brand (Wayfair, AllModern, Birch Lane, Perigold, Joss & Main), catalog (US, UK, Germany) and language (English, French).",The term the customer typed into the search bar,The primary class associated with the search term,The total number of impressions of the search term in the last 30 days,"Of the total impressions per class, what was the percentage of impressions for this search term",The percentage of searches where any 1 sku from the supplier appeared whether paid or organic,The percentage of searches where any 1 sku from the supplier appeared on the first page,The percentage of searches where any 1 sku from the supplier appeared on the first page in the top 8 slots
Wayfair US,queen size comforter set,Bedding Sets,70,0.03%,65.71%,48.57%,32.86%
Wayfair US,purple bedspread,Bedding Sets,70,0.03%,67.14%,50%,45.71%
Wayfair US,king size bed pillows,Standard Bed Pillows,70,0.96%,45.71%,42.86%,5.71%
Wayfair US,white twin comforter,Bedding Sets,70,0.03%,82.86%,78.57%,17.14%
Wayfair US,twin duvet insert,Duvet Fills and Down Comforters,70,0.77%,30%,24.29%,0%
Wayfair US,duvet cover twin,Bedding Sets,69,0.03%,31.88%,8.7%,0%
Wayfair US,quilt bedding,Bedding Sets,69,0.03%,72.46%,62.32%,39.13%
Wayfair US,light grey comforter set,Bedding Sets,69,0.03%,56.52%,47.83%,28.99%
Wayfair US,pink queen comforter sets,Bedding Sets,68,0.03%,77.94%,66.18%,44.12%
Wayfair US,gray comforter sets,Bedding Sets,68,0.03%,69.12%,50%,29.41%
Wayfair US,christmas comforter,Bedding Sets,68,0.03%,39.71%,39.71%,11.76%
Wayfair US,blush pink comforter,Bedding Sets,68,0.03%,77.94%,67.65%,26.47%
Wayfair US,beach bedding,Bedding Sets,68,0.03%,8.82%,1.47%,0%
Wayfair US,blue bedspread,Bedding Sets,67,0.03%,64.18%,43.28%,11.94%
Wayfair US,cotton comforter set,Bedding Sets,67,0.03%,40.3%,38.81%,0%
Wayfair US,light blue quilt,Bedding Sets,67,0.03%,76.12%,61.19%,34.33%
Wayfair US,white comforters,Bedding Sets,67,0.03%,68.66%,53.73%,13.43%
Wayfair US,sage comforter set,Bedding Sets,67,0.03%,80.6%,80.6%,46.27%
Wayfair US,taupe bedding,Bedding Sets,66,0.03%,63.64%,59.09%,59.09%
Wayfair US,twin conforter set,Bedding Sets,66,0.03%,72.73%,62.12%,37.88%
Wayfair US,quilt king,Bedding Sets,66,0.03%,72.73%,63.64%,24.24%
Wayfair US,queen bedroom comforter sets,Bedding Sets,66,0.03%,72.73%,51.52%,22.73%
Wayfair US,heavy winter comforter,Bedding Sets,66,0.03%,39.39%,27.27%,3.03%
Wayfair US,comforter twin,Bedding Sets,66,0.03%,69.7%,65.15%,37.88%
Wayfair US,clearance bedding,Bedding Sets,66,0.03%,39.39%,30.3%,7.58%
Wayfair US,glam bedding,Bedding Sets,66,0.03%,36.36%,25.76%,16.67%
Wayfair US,faux fur bedding,Bedding Sets,66,0.03%,51.52%,48.48%,39.39%
Wayfair US,bedspread king,Bedding Sets,66,0.03%,54.55%,36.36%,15.15%
Wayfair US,olive green comforter,Furniture Cushions,66,0.17%,92.42%,89.39%,50%
Wayfair US,blush quilt,Bedding Sets,65,0.03%,80%,66.15%,23.08%
Wayfair US,blue queen quilt,Bedding Sets,65,0.03%,76.92%,58.46%,27.69%
Wayfair US,full bedspread,Bedding Sets,65,0.03%,26.15%,15.38%,1.54%
Wayfair US,boy bedding,Bedding Sets,65,0.03%,47.69%,36.92%,10.77%
Wayfair US,king oversized quilts,Bedding Sets,64,0.02%,96.88%,85.94%,82.81%
Wayfair US,big fluffy down comforters,Duvet Fills and Down Comforters,64,0.7%,35.94%,26.56%,0%
Wayfair US,mustard yellow comforter set,Bedding Sets,63,0.02%,82.54%,73.02%,20.63%
Wayfair US,twin size comforter,Bedding Sets,63,0.02%,80.95%,77.78%,31.75%
Wayfair US,cal king quilt,Bedding Sets,63,0.02%,39.68%,39.68%,33.33%
Wayfair US,farmhouse quilts,Bedding Sets,62,0.02%,74.19%,54.84%,25.81%
Wayfair US,green bedspread,Bedding Sets,62,0.02%,58.06%,38.71%,11.29%
Wayfair US,full size quilt sets,Bedding Sets,62,0.02%,30.65%,29.03%,4.84%
Wayfair US,dog couch,Dog Beds & Mats,62,0.32%,1.61%,0%,0%
Wayfair US,queen bedroom comforter set,Bedding Sets,62,0.02%,74.19%,59.68%,41.94%
Wayfair US,king bedroom comforter sets,Bedding Sets,62,0.02%,70.97%,51.61%,24.19%
Wayfair US,king sized comforter,Bedding Sets,61,0.02%,63.93%,45.9%,32.79%
Wayfair US,quilt queen,Bedding Sets,61,0.02%,77.05%,68.85%,21.31%
Wayfair US,white king quilt,Bedding Sets,61,0.02%,67.21%,54.1%,27.87%
Wayfair US,boho duvet cover,Bedding Sets,61,0.02%,9.84%,6.56%,3.28%
Wayfair US,bed spread queen,Bedding Sets,60,0.02%,63.33%,58.33%,18.33%
Wayfair US,beach and coastal bedding,Bedding Sets,60,0.02%,8.33%,0%,0%
Wayfair US,fall bedspreads,Bedding Sets,60,0.02%,20%,3.33%,0%
Wayfair US,queen bed coverlet,Bedding Sets,60,0.02%,50%,41.67%,13.33%
Wayfair US,navy blue quilt,Bedding Sets,60,0.02%,68.33%,53.33%,20%
Wayfair US,mens bedding,Bedding Sets,59,0.02%,49.15%,30.51%,8.47%
Wayfair US,oversized king duvet cover,Bedding Sets,59,0.02%,22.03%,11.86%,1.69%
Wayfair US,light blue bedding,Bedding Sets,59,0.02%,52.54%,33.9%,13.56%
Wayfair US,queen size bed in a bag,Bedding Sets,59,0.02%,16.95%,8.47%,1.69%
Wayfair US,ruffle bedding,Bedding Sets,59,0.02%,79.66%,72.88%,3.39%
Wayfair US,fall bedding set,Bedding Sets,59,0.02%,32.2%,13.56%,3.39%
Wayfair US,full size bed in a bag,Bedding Sets,59,0.02%,20.34%,13.56%,1.69%
Wayfair US,california king comforter set,Bedding Sets,59,0.02%,35.59%,35.59%,33.9%
Wayfair US,comforter set full,Bedding Sets,59,0.02%,71.19%,62.71%,35.59%
Wayfair US,black and gold comforter set,Bedding Sets,59,0.02%,50.85%,42.37%,18.64%
Wayfair US,white quilts,Bedding Sets,59,0.02%,59.32%,52.54%,5.08%
Wayfair US,white down comforter,Duvet Fills and Down Comforters,58,0.64%,34.48%,29.31%,3.45%
Wayfair US,boho quilt set,Bedding Sets,58,0.02%,50%,39.66%,0%
Wayfair US,extra large king duvet cover,Bedding Sets,58,0.02%,25.86%,5.17%,0%
Wayfair US,red bedspread,Bedding Sets,58,0.02%,50%,27.59%,1.72%
Wayfair US,white king size comforter set,Bedding Sets,58,0.02%,68.97%,53.45%,6.9%
Wayfair US,oversized king quilt sets,Bedding Sets,58,0.02%,81.03%,62.07%,36.21%
Wayfair US,brown bedding,Bedding Sets,57,0.02%,31.58%,10.53%,1.75%
Wayfair US,20x20 outdoor chair cushions,Furniture Cushions,57,0.14%,8.77%,3.51%,1.75%
Wayfair US,pet bed,Dog Beds & Mats,56,0.29%,3.57%,1.79%,0%
Wayfair US,boys twin bedding,Bedding Sets,56,0.02%,51.79%,42.86%,8.93%
Wayfair US,cali king comforter set,Bedding Sets,56,0.02%,67.86%,58.93%,58.93%
Wayfair US,purple duvet cover,Bedding Sets,56,0.02%,60.71%,46.43%,10.71%
Wayfair US,millwood pines,Bedding Sets,56,0.02%,3.57%,0%,0%
Wayfair US,white comforter queen,Bedding Sets,56,0.02%,71.43%,67.86%,3.57%
Wayfair US,twin girls bedding,Bedding Sets,56,0.02%,51.79%,41.07%,12.5%
Wayfair US,queen bed spreads,Bedding Sets,55,0.02%,52.73%,40%,14.55%
Wayfair US,queen cotton quilt,Bedding Sets,55,0.02%,27.27%,7.27%,0%
Wayfair US,queen quilted bedspread,Bedding Sets,55,0.02%,80%,61.82%,27.27%
Wayfair US,modern comforter set,Bedding Sets,55,0.02%,61.82%,47.27%,14.55%
Wayfair US,fur comforter,Bedding Sets,55,0.02%,36.36%,14.55%,5.45%
Wayfair US,girls comforter,Bedding Sets,55,0.02%,83.64%,74.55%,43.64%
Wayfair US,twin xl mattress pad,Mattress Toppers and Pads,55,0.27%,18.18%,16.36%,0%
Wayfair US,lounge chair cushions,Furniture Cushions,54,0.14%,3.7%,1.85%,0%
Wayfair US,full comforter sets,Bedding Sets,54,0.02%,64.81%,46.3%,27.78%
Wayfair US,light comforter,Bedding Sets,54,0.02%,87.04%,74.07%,74.07%
Wayfair US,king cotton quilt,Bedding Sets,54,0.02%,35.19%,25.93%,7.41%
Wayfair US,satin comforter,Bedding Sets,54,0.02%,79.63%,74.07%,38.89%
Wayfair US,comforter storage,Duvet Fills and Down Comforters,54,0.59%,77.78%,72.22%,0%
Wayfair US,coastal quilt,Bedding Sets,53,0.02%,39.62%,22.64%,1.89%
Wayfair US,8 piece bedding set,Bedding Sets,53,0.02%,39.62%,20.75%,3.77%
Wayfair US,bedspread queen,Bedding Sets,53,0.02%,56.6%,39.62%,15.09%
Wayfair US,outdoor chair cushion,Furniture Cushions,52,0.13%,13.46%,5.77%,0%
Wayfair US,vintage bedding,Bedding Sets,52,0.02%,65.38%,50%,17.31%
Wayfair US,red and black comforter set,Bedding Sets,52,0.02%,67.31%,59.62%,11.54%
Wayfair US,queen size duvet cover,Bedding Sets,52,0.02%,25%,3.85%,0%
Wayfair US,king size duvet cover set,Bedding Sets,52,0.02%,25%,5.77%,1.92%
Wayfair US,pink quilt set,Bedding Sets,52,0.02%,90.38%,80.77%,53.85%
Wayfair US,down blanket,Duvet Fills and Down Comforters,52,0.57%,21.15%,15.38%,1.92%
Wayfair US,white quilt king,Bedding Sets,52,0.02%,82.69%,67.31%,51.92%
Wayfair US,down comforters,Duvet Fills and Down Comforters,52,0.57%,38.46%,15.38%,3.85%
Wayfair US,purple bedding sets,Bedding Sets,51,0.02%,60.78%,52.94%,19.61%
Wayfair US,oversized california king quilt sets,Bedding Sets,51,0.02%,96.08%,78.43%,78.43%
Wayfair US,king size bed spread,Bedding Sets,51,0.02%,54.9%,35.29%,7.84%
Wayfair US,queen size bedspreads,Bedding Sets,51,0.02%,66.67%,45.1%,15.69%
Wayfair US,queen comforter sets green,Bedding Sets,51,0.02%,82.35%,78.43%,41.18%
Wayfair US,twin duvet cover set,Bedding Sets,51,0.02%,29.41%,15.69%,5.88%
Wayfair US,bedding twin,Bedding Sets,51,0.02%,68.63%,56.86%,23.53%
Wayfair US,blue quilt set,Bedding Sets,51,0.02%,86.27%,64.71%,49.02%
Wayfair US,comforter sets full,Bedding Sets,51,0.02%,74.51%,58.82%,29.41%
Wayfair US,daybed comforter sets,Bedding Sets,51,0.02%,19.61%,19.61%,0%
Wayfair US,butterfly bedding,Bedding Sets,51,0.02%,33.33%,1.96%,1.96%
Wayfair US,furry comforter,Bedding Sets,51,0.02%,72.55%,45.1%,1.96%
Wayfair US,green comforters,Bedding Sets,50,0.02%,86%,76%,48%
Wayfair US,bed comforters,Bedding Sets,50,0.02%,66%,36%,12%
Wayfair US,twin bed in a bag sets,Bedding Sets,50,0.02%,50%,36%,2%
Wayfair US,queen comforter cover,Bedding Sets,50,0.02%,88%,82%,2%
Wayfair US,king size luxury bedding,Bedding Sets,50,0.02%,46%,20%,4%
Wayfair US,modern quilt,Bedding Sets,50,0.02%,88%,80%,28%
Wayfair US,mens comforter,Bedding Sets,50,0.02%,74%,64%,14%
