Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"May 05, 2022","May 05, 2022",Quilt Set,USD,1702 TEIKA,Generic,bedding,BROAD,bedding sets guest room,2,1,50.0000%,$0.27,$0.27,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 05, 2022","May 05, 2022",Quilt Set,USD,1702 TEIKA,Generic,bedding,BROAD,collection etc bedding,1,1,100.0000%,$0.35,$0.35,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 05, 2022","May 05, 2022",Quilt Set,USD,1702 TEIKA,Generic,bedding,BROAD,construction truck bedding set,3,1,33.3333%,$0.35,$0.35,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 05, 2022","May 05, 2022",Quilt Set,USD,1702 TEIKA,Generic,bedding,BROAD,forest green lightweight bedding blanket,5,1,20.0000%,$0.35,$0.35,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 05, 2022","May 05, 2022",Quilt Set,USD,1702 TEIKA,Generic,bedding,BROAD,lightweight aqua bedding,7,1,14.2857%,$0.35,$0.35,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 05, 2022","May 05, 2022",Quilt Set,USD,1702 TEIKA,Generic,bedding,BROAD,pioneer woman bedding,5,1,20.0000%,$0.35,$0.35,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 05, 2022","May 05, 2022",Quilt Set,USD,1702 TEIKA,Generic,bedding,BROAD,soft colour bedding,1,1,100.0000%,$0.35,$0.35,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 05, 2022","May 05, 2022",Quilt Set,USD,1702 TEIKA,Generic,bedding,BROAD,summer bedding,51,1,1.9608%,$0.34,$0.34,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 05, 2022","May 05, 2022",Quilt Set,USD,1702 TEIKA,Generic,bedding,BROAD,twin dark brown bedding,1,1,100.0000%,$0.27,$0.27,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 05, 2022","May 05, 2022",Quilt Set,USD,1702 TEIKA,Generic,bedspread,BROAD,bedspreads,43,1,2.3256%,$0.35,$0.35,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 05, 2022","May 05, 2022",Quilt Set,USD,1702 TEIKA,Generic,bedspread,BROAD,maroon bedspread designer duvet also,2,1,50.0000%,$0.35,$0.35,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 05, 2022","May 05, 2022",Quilt Set,USD,1702 TEIKA,Generic,bedspread,BROAD,twin extra long bedspreads,60,1,1.6667%,$0.35,$0.35,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 07, 2022","May 07, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,cotton king quilt,13,2,15.3846%,$0.87,$1.74,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 07, 2022","May 07, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king quilt,39,1,2.5641%,$0.62,$0.62,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 08, 2022","May 08, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king size bed quilts,5,1,20.0000%,$0.99,$0.99,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 07, 2022","May 07, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king size quilts,23,1,4.3478%,$1.09,$1.09,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 08, 2022","May 08, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king sized quilts for bed,4,1,25.0000%,$0.70,$0.70,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 06, 2022","May 06, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,light green king quilt,5,1,20.0000%,$1.10,$1.10,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 07, 2022","May 07, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,lightweight quilts for king size bed,25,1,4.0000%,$1.10,$1.10,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 07, 2022","May 07, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,quilt king size,64,1,1.5625%,$1.10,$1.10,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 08, 2022","May 08, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,quilts king size clearance,26,1,3.8462%,$0.99,$0.99,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
