"A 'Brand Catalog' is a combination of Brand (Wayfair, AllModern, Birch Lane, Perigold, Joss & Main), catalog (US, UK, Germany) and language (English, French).",The term the customer typed into the search bar,The primary class associated with the search term,The total number of impressions of the search term in the last 30 days,"Of the total impressions per class, what was the percentage of impressions for this search term",The percentage of searches where any 1 sku from the supplier appeared whether paid or organic,The percentage of searches where any 1 sku from the supplier appeared on the first page,The percentage of searches where any 1 sku from the supplier appeared on the first page in the top 8 slots
Brand Catalog,Search Term,Class,Last 30 Day Impressions,Search Term Share of Impressions for Given Class,Supplier Share of Search,Supplier Share of Page 1,Supplier Share of Top 8
Wayfair US,oversized queen bedspreads,Bedding Sets,80,0.03%,51.25%,30%,10%
Wayfair US,light grey comforter set,Bedding Sets,80,0.03%,58.75%,47.5%,30%
Wayfair US,modern comforter,Bedding Sets,79,0.03%,81.01%,69.62%,34.18%
Wayfair US,oversized king bedding,Bedding Sets,79,0.03%,69.62%,58.23%,27.85%
Wayfair US,terracotta comforter,Bedding Sets,79,0.03%,73.42%,65.82%,1.27%
Wayfair US,boys twin bedding,Bedding Sets,79,0.03%,48.1%,43.04%,7.59%
Wayfair US,brown comforter,Bedding Sets,78,0.03%,21.79%,21.79%,10.26%
Wayfair US,blue quilts,Bedding Sets,78,0.03%,70.51%,52.56%,17.95%
Wayfair US,outdoor dining chair cushions,Furniture Cushions,78,0.2%,11.54%,7.69%,3.85%
Wayfair US,comforter sets king,Bedding Sets,78,0.03%,65.38%,51.28%,34.62%
Wayfair US,tan bedding,Bedding Sets,78,0.03%,70.51%,64.1%,29.49%
Wayfair US,twin size bedding,Bedding Sets,78,0.03%,57.69%,44.87%,15.38%
Wayfair US,tan comforter,Bedding Sets,77,0.03%,59.74%,57.14%,3.9%
Wayfair US,mid century modern bedding,Bedding Sets,77,0.03%,55.84%,42.86%,12.99%
Wayfair US,comforter twin,Bedding Sets,77,0.03%,67.53%,62.34%,29.87%
Wayfair US,daybed comforter sets,Bedding Sets,77,0.03%,14.29%,14.29%,0%
Wayfair US,king blanket,Blankets And Throws,77,0.26%,2.6%,2.6%,0%
Wayfair US,green comforter sets,Bedding Sets,76,0.03%,81.58%,76.32%,32.89%
Wayfair US,black quilt,Bedding Sets,76,0.03%,28.95%,28.95%,0%
Wayfair US,red quilt,Bedding Sets,76,0.03%,65.79%,53.95%,31.58%
Wayfair US,silk comforter set,Bedding Sets,75,0.03%,73.33%,72%,26.67%
Wayfair US,twin xl comforter set,Bedding Sets,75,0.03%,36%,34.67%,22.67%
Wayfair US,oversized king duvet cover,Bedding Sets,75,0.03%,22.67%,9.33%,1.33%
Wayfair US,24 piece comforter set,Bedding Sets,75,0.03%,86.67%,86.67%,56%
Wayfair US,christmas comforter,Bedding Sets,75,0.03%,33.33%,33.33%,14.67%
Wayfair US,full size bed in a bag,Bedding Sets,74,0.03%,20.27%,13.51%,1.35%
Wayfair US,boho quilt set,Bedding Sets,74,0.03%,48.65%,35.14%,0%
Wayfair US,blush pink comforter,Bedding Sets,74,0.03%,70.27%,62.16%,20.27%
Wayfair US,king bed coverlet,Bedding Sets,74,0.03%,47.3%,39.19%,14.86%
Wayfair US,muslin blanket,Blankets And Throws,74,0.25%,62.16%,62.16%,62.16%
Wayfair US,twin bed quilts,Bedding Sets,73,0.03%,64.38%,43.84%,17.81%
Wayfair US,full size quilt sets,Bedding Sets,73,0.03%,30.14%,26.03%,5.48%
Wayfair US,black and white quilt,Bedding Sets,72,0.03%,48.61%,36.11%,2.78%
Wayfair US,turquoise comforter,Bedding Sets,72,0.03%,84.72%,75%,36.11%
Wayfair US,rustic mountain cabin bedding,Bedding Sets,72,0.03%,15.28%,0%,0%
Wayfair US,taupe bedding,Bedding Sets,72,0.03%,56.94%,48.61%,47.22%
Wayfair US,pink bedspread,Bedding Sets,72,0.03%,68.06%,54.17%,18.06%
Wayfair US,purple duvet cover,Bedding Sets,71,0.03%,60.56%,40.85%,9.86%
Wayfair US,green velvet comforter,Bedding Sets,71,0.03%,78.87%,74.65%,4.23%
Wayfair US,cooling comforter,Bedding Sets,71,0.03%,22.54%,15.49%,2.82%
Wayfair US,down blanket,Duvet Fills and Down Comforters,71,0.74%,22.54%,18.31%,4.23%
Wayfair US,twin duvet insert,Duvet Fills and Down Comforters,71,0.74%,30.99%,26.76%,0%
Wayfair US,fall quilt,Bedding Sets,70,0.03%,37.14%,32.86%,1.43%
Wayfair US,sage green duvet cover,Bedding Sets,70,0.03%,58.57%,52.86%,18.57%
Wayfair US,quilt bedding,Bedding Sets,70,0.03%,64.29%,57.14%,32.86%
Wayfair US,white king size comforter set,Bedding Sets,70,0.03%,64.29%,51.43%,5.71%
Wayfair US,quilt king,Bedding Sets,69,0.03%,73.91%,62.32%,18.84%
Wayfair US,queen size comforter set,Bedding Sets,69,0.03%,62.32%,49.28%,33.33%
Wayfair US,light blue comforter,Bedding Sets,69,0.03%,73.91%,63.77%,36.23%
Wayfair US,cal king bedding,Bedding Sets,69,0.03%,24.64%,24.64%,8.7%
Wayfair US,boys comforter,Bedding Sets,69,0.03%,68.12%,56.52%,36.23%
Wayfair US,pillow top mattress topper,Mattress Toppers and Pads,69,0.36%,24.64%,20.29%,0%
Wayfair US,blue queen quilt,Bedding Sets,68,0.03%,79.41%,57.35%,26.47%
Wayfair US,twin blanket,Blankets And Throws,68,0.23%,11.76%,8.82%,0%
Wayfair US,cali king comforter set,Bedding Sets,67,0.03%,56.72%,47.76%,47.76%
Wayfair US,faux fur bedding,Bedding Sets,67,0.03%,49.25%,43.28%,28.36%
Wayfair US,fur comforter,Bedding Sets,67,0.03%,29.85%,11.94%,4.48%
Wayfair US,light blue quilt,Bedding Sets,67,0.03%,77.61%,67.16%,38.81%
Wayfair US,purple bedspread,Bedding Sets,67,0.03%,62.69%,43.28%,41.79%
Wayfair US,quilt queen,Bedding Sets,67,0.03%,70.15%,65.67%,16.42%
Wayfair US,white quilt king,Bedding Sets,67,0.03%,74.63%,64.18%,46.27%
Wayfair US,reversible comforter,Bedding Sets,66,0.03%,86.36%,83.33%,59.09%
Wayfair US,24 x 24 outdoor cushions,Furniture Cushions,65,0.17%,7.69%,3.08%,1.54%
Wayfair US,queen quilted bedspread,Bedding Sets,64,0.02%,75%,54.69%,23.44%
Wayfair US,lake house bedding sets,Bedding Sets,64,0.02%,25%,10.94%,0%
Wayfair US,queen size bed in a bag,Bedding Sets,63,0.02%,17.46%,9.52%,1.59%
Wayfair US,boy bedding,Bedding Sets,63,0.02%,53.97%,39.68%,11.11%
Wayfair US,bedspread king,Bedding Sets,63,0.02%,53.97%,33.33%,15.87%
Wayfair US,green bedspread,Bedding Sets,63,0.02%,58.73%,39.68%,11.11%
Wayfair US,full bedspread,Bedding Sets,63,0.02%,25.4%,15.87%,1.59%
Wayfair US,cotton quilt set,Bedding Sets,63,0.02%,38.1%,28.57%,1.59%
Wayfair US,full bed comforter set,Bedding Sets,62,0.02%,70.97%,61.29%,22.58%
Wayfair US,blush quilt,Bedding Sets,62,0.02%,75.81%,61.29%,24.19%
Wayfair US,blue king comforter,Bedding Sets,62,0.02%,66.13%,48.39%,24.19%
Wayfair US,white king quilt,Bedding Sets,62,0.02%,61.29%,51.61%,27.42%
Wayfair US,navy blue quilt,Bedding Sets,62,0.02%,66.13%,51.61%,17.74%
Wayfair US,modern comforter set,Bedding Sets,61,0.02%,59.02%,45.9%,14.75%
Wayfair US,twin xl quilt,Bedding Sets,61,0.02%,42.62%,42.62%,3.28%
Wayfair US,boho duvet cover,Bedding Sets,61,0.02%,9.84%,6.56%,3.28%
Wayfair US,english cottage bedding,Bedding Sets,61,0.02%,18.03%,0%,0%
Wayfair US,california king comforter set,Bedding Sets,61,0.02%,34.43%,34.43%,34.43%
Wayfair US,comforter sets king size,Bedding Sets,60,0.02%,56.67%,48.33%,31.67%
Wayfair US,fall bedspreads,Bedding Sets,60,0.02%,21.67%,5%,0%
Wayfair US,beach and coastal bedding,Bedding Sets,60,0.02%,8.33%,0%,0%
Wayfair US,hotel pillows,Standard Bed Pillows,60,0.78%,15%,3.33%,0%
Wayfair US,twin size comforter,Bedding Sets,60,0.02%,81.67%,78.33%,31.67%
Wayfair US,twin bedding sets,Bedding Sets,60,0.02%,60%,46.67%,8.33%
Wayfair US,white twin comforter,Bedding Sets,60,0.02%,78.33%,71.67%,16.67%
Wayfair US,velvet bedspread,Bedding Sets,59,0.02%,37.29%,35.59%,23.73%
Wayfair US,king sized comforter,Bedding Sets,59,0.02%,62.71%,45.76%,27.12%
Wayfair US,king size duvet cover set,Bedding Sets,59,0.02%,30.51%,5.08%,1.69%
Wayfair US,fall comforters,Bedding Sets,59,0.02%,45.76%,30.51%,18.64%
Wayfair US,comforter set full,Bedding Sets,59,0.02%,69.49%,59.32%,33.9%
Wayfair US,country bedding,Bedding Sets,59,0.02%,54.24%,40.68%,11.86%
Wayfair US,cal king quilt,Bedding Sets,59,0.02%,40.68%,40.68%,32.2%
Wayfair US,quilted throw,Blankets And Throws,59,0.2%,15.25%,0%,0%
Wayfair US,down comforters,Duvet Fills and Down Comforters,59,0.62%,38.98%,13.56%,3.39%
Wayfair US,farmhouse quilts,Bedding Sets,58,0.02%,70.69%,51.72%,17.24%
Wayfair US,full comforter sets,Bedding Sets,58,0.02%,58.62%,36.21%,18.97%
Wayfair US,gray comforter sets,Bedding Sets,58,0.02%,70.69%,51.72%,32.76%
Wayfair US,green quilt set,Bedding Sets,58,0.02%,70.69%,46.55%,18.97%
Wayfair US,girls comforter,Bedding Sets,58,0.02%,68.97%,62.07%,31.03%
Wayfair US,king bedroom comforter sets,Bedding Sets,58,0.02%,65.52%,53.45%,24.14%
Wayfair US,mustard yellow comforter set,Bedding Sets,58,0.02%,81.03%,72.41%,25.86%
Wayfair US,vintage bedding,Bedding Sets,58,0.02%,65.52%,46.55%,10.34%
Wayfair US,queen size duvet cover,Bedding Sets,58,0.02%,24.14%,3.45%,0%
Wayfair US,pink queen comforter sets,Bedding Sets,57,0.02%,77.19%,68.42%,45.61%
Wayfair US,fall bedding set,Bedding Sets,57,0.02%,29.82%,14.04%,3.51%
Wayfair US,olive green comforter,Furniture Cushions,57,0.15%,87.72%,78.95%,47.37%
Wayfair US,beach theme bedding,Bedding Sets,56,0.02%,42.86%,41.07%,1.79%
Wayfair US,queen comforter cover,Bedding Sets,56,0.02%,83.93%,78.57%,1.79%
Wayfair US,white quilts,Bedding Sets,56,0.02%,53.57%,46.43%,5.36%
Wayfair US,white down comforter,Duvet Fills and Down Comforters,56,0.58%,42.86%,35.71%,3.57%
Wayfair US,mens bedding,Bedding Sets,55,0.02%,45.45%,30.91%,9.09%
Wayfair US,bed spread queen,Bedding Sets,55,0.02%,58.18%,54.55%,14.55%
Wayfair US,blue twin comforter,Bedding Sets,55,0.02%,80%,72.73%,30.91%
Wayfair US,comforter sets full,Bedding Sets,55,0.02%,70.91%,61.82%,27.27%
Wayfair US,christmas comforter set,Bedding Sets,55,0.02%,27.27%,27.27%,25.45%
Wayfair US,ivory quilt,Bedding Sets,55,0.02%,94.55%,89.09%,52.73%
Wayfair US,brown bedding,Bedding Sets,54,0.02%,31.48%,11.11%,1.85%
Wayfair US,white comforter queen,Bedding Sets,54,0.02%,72.22%,64.81%,3.7%
Wayfair US,twin size quilts,Bedding Sets,53,0.02%,66.04%,52.83%,22.64%
Wayfair US,light blue bedding,Bedding Sets,53,0.02%,60.38%,37.74%,16.98%
Wayfair US,queen bed in bag,Bedding Sets,53,0.02%,20.75%,11.32%,3.77%
Wayfair US,modern quilt,Bedding Sets,53,0.02%,83.02%,73.58%,28.3%
Wayfair US,blue comforters,Bedding Sets,53,0.02%,71.7%,50.94%,32.08%
Wayfair US,bedding twin,Bedding Sets,53,0.02%,67.92%,56.6%,24.53%
Wayfair US,indoor seat cushions,Furniture Cushions,53,0.14%,7.55%,5.66%,3.77%
Wayfair US,cotton comforter set,Bedding Sets,53,0.02%,32.08%,30.19%,0%
Wayfair US,queen bedroom comforter set,Bedding Sets,52,0.02%,69.23%,53.85%,34.62%
Wayfair US,white comforters,Bedding Sets,52,0.02%,73.08%,55.77%,15.38%
Wayfair US,twin conforter set,Bedding Sets,51,0.02%,78.43%,60.78%,33.33%
Wayfair US,red and black comforter set,Bedding Sets,51,0.02%,60.78%,50.98%,11.76%
Wayfair US,sage comforter set,Bedding Sets,51,0.02%,78.43%,78.43%,54.9%
Wayfair US,king duvet covers,Bedding Sets,51,0.02%,37.25%,13.73%,0%
Wayfair US,california king bedding set,Bedding Sets,51,0.02%,17.65%,13.73%,1.96%
Wayfair US,full size quilt set,Bedding Sets,51,0.02%,43.14%,41.18%,3.92%
Wayfair US,glam bedding,Bedding Sets,51,0.02%,33.33%,19.61%,11.76%
Wayfair US,king size down comforter,Duvet Fills and Down Comforters,51,0.53%,39.22%,23.53%,1.96%
Wayfair US,fleece throw,Blankets And Throws,50,0.17%,20%,4%,0%
Wayfair US,grey duvet cover,Bedding Sets,50,0.02%,40%,18%,4%
Wayfair US,cabin bedding,Bedding Sets,50,0.02%,16%,2%,0%
Wayfair US,king cotton quilt,Bedding Sets,50,0.02%,36%,24%,8%
Wayfair US,king size conforter,Bedding Sets,50,0.02%,68%,50%,28%
Wayfair US,sage green quilt set,Bedding Sets,50,0.02%,64%,36%,18%
Wayfair US,rustic comforter,Bedding Sets,50,0.02%,34%,34%,2%
Wayfair US,queen comforter sets green,Bedding Sets,50,0.02%,80%,74%,34%
Wayfair US,twin duvet cover set,Bedding Sets,50,0.02%,30%,16%,6%
Wayfair US,twin girls bedding,Bedding Sets,50,0.02%,48%,38%,10%
