"A 'Brand Catalog' is a combination of Brand (Wayfair, AllModern, Birch Lane, Perigold, Joss & Main), catalog (US, UK, Germany) and language (English, French).",The term the customer typed into the search bar,The primary class associated with the search term,The total number of impressions of the search term in the last 30 days,"Of the total impressions per class, what was the percentage of impressions for this search term",The percentage of searches where any 1 sku from the supplier appeared whether paid or organic,The percentage of searches where any 1 sku from the supplier appeared on the first page,The percentage of searches where any 1 sku from the supplier appeared on the first page in the top 8 slots
Brand Catalog,Search Term,Class,Last 30 Day Impressions,Search Term Share of Impressions for Given Class,Supplier Share of Search,Supplier Share of Page 1,Supplier Share of Top 8
Wayfair US,california king quilt sets,Bedding Sets,185,0.07%,31.35%,30.81%,15.68%
Wayfair US,twin xl mattress topper,Mattress Toppers and Pads,185,0.96%,10.27%,2.16%,0%
Wayfair US,california king bedding,Bedding Sets,183,0.07%,9.84%,6.56%,1.64%
Wayfair US,floral quilt,Bedding Sets,182,0.07%,52.75%,38.46%,14.29%
Wayfair US,queen quilt set,Bedding Sets,179,0.07%,65.92%,58.1%,12.29%
Wayfair US,teal comforter,Bedding Sets,177,0.07%,89.83%,82.49%,35.59%
Wayfair US,oversized queen comforter sets,Bedding Sets,177,0.07%,47.46%,39.55%,20.9%
Wayfair US,full size bedding set,Bedding Sets,177,0.07%,28.25%,19.77%,1.69%
Wayfair US,extra large king size quilt,Bedding Sets,177,0.07%,70.06%,55.93%,37.85%
Wayfair US,dark purple comforter sets,Bedding Sets,176,0.07%,30.11%,3.41%,1.14%
Wayfair US,full bedding set,Bedding Sets,176,0.07%,18.75%,10.8%,1.7%
Wayfair US,twin bed in a bag,Bedding Sets,176,0.07%,40.91%,26.14%,2.27%
Wayfair US,king bed in a bag,Bedding Sets,175,0.07%,13.71%,9.14%,3.43%
Wayfair US,100 percent cotton quilts,Bedding Sets,175,0.07%,28.57%,12.57%,8.57%
Wayfair US,fall comforter sets,Bedding Sets,174,0.07%,41.38%,33.91%,18.97%
Wayfair US,comforter queen,Bedding Sets,173,0.07%,62.43%,52.6%,29.48%
Wayfair US,lavender or purple bedspreads,Bedding Sets,171,0.07%,90.06%,88.89%,87.72%
Wayfair US,pink quilt,Bedding Sets,171,0.07%,85.38%,77.19%,42.11%
Wayfair US,white king comforter,Bedding Sets,171,0.07%,47.37%,35.09%,4.09%
Wayfair US,yellow comforter set,Bedding Sets,170,0.07%,76.47%,64.71%,31.76%
Wayfair US,farmhouse quilt,Bedding Sets,170,0.07%,76.47%,60.59%,25.88%
Wayfair US,navy quilt,Bedding Sets,168,0.06%,62.5%,47.62%,5.95%
Wayfair US,oversized comforter,Bedding Sets,168,0.06%,57.14%,51.19%,3.57%
Wayfair US,navy comforter,Bedding Sets,167,0.06%,76.65%,68.86%,22.75%
Wayfair US,coastal quilts,Bedding Sets,167,0.06%,27.54%,12.57%,5.99%
Wayfair US,full size comforter sets,Bedding Sets,166,0.06%,65.06%,51.81%,25.3%
Wayfair US,bed covers,Bedding Sets,166,0.06%,45.78%,35.54%,2.41%
Wayfair US,king bed pillows,Standard Bed Pillows,161,2.1%,39.75%,35.4%,4.35%
Wayfair US,queen down comforter,Duvet Fills and Down Comforters,161,1.68%,20.5%,12.42%,0.62%
Wayfair US,throw blankets,Blankets And Throws,158,0.53%,4.43%,0%,0%
Wayfair US,twin bed comforter sets,Bedding Sets,158,0.06%,68.35%,56.96%,23.42%
Wayfair US,twin bed spread,Bedding Sets,158,0.06%,43.04%,31.01%,13.92%
Wayfair US,twin coverlet,Bedding Sets,158,0.06%,53.8%,43.04%,17.09%
Wayfair US,oversized king comforter sets,Bedding Sets,157,0.06%,38.85%,28.03%,5.1%
Wayfair US,cal king comforter sets,Bedding Sets,157,0.06%,28.66%,28.66%,0.64%
Wayfair US,lightweight summer quilts,Bedding Sets,155,0.06%,16.13%,14.84%,2.58%
Wayfair US,queen size quilt sets,Bedding Sets,154,0.06%,66.88%,47.4%,12.99%
Wayfair US,navy comforter set,Bedding Sets,153,0.06%,29.41%,27.45%,22.88%
Wayfair US,yellow throw blanket,Blankets And Throws,153,0.52%,13.73%,3.27%,0%
Wayfair US,conforter,Bedding Sets,152,0.06%,64.47%,59.21%,36.18%
Wayfair US,seat cushion,Furniture Cushions,151,0.39%,5.3%,1.99%,0.66%
Wayfair US,taupe comforter,Bedding Sets,151,0.06%,60.93%,50.99%,46.36%
Wayfair US,extra wide king bedspreads,Bedding Sets,150,0.06%,30.67%,2%,0%
Wayfair US,laura ashley quilts,Bedding Sets,148,0.06%,6.08%,2.7%,0.68%
Wayfair US,oversized queen comforter,Bedding Sets,147,0.06%,55.78%,44.9%,7.48%
Wayfair US,navy blue comforter,Bedding Sets,146,0.06%,61.64%,55.48%,32.88%
Wayfair US,sherpa comforter,Bedding Sets,146,0.06%,23.97%,13.01%,2.05%
Wayfair US,twin mattress topper,Mattress Toppers and Pads,146,0.76%,6.16%,1.37%,0.68%
Wayfair US,120x120 king quilt,Bedding Sets,146,0.06%,64.38%,53.42%,29.45%
Wayfair US,patio seat cushions,Furniture Cushions,145,0.37%,6.21%,0%,0%
Wayfair US,blue duvet cover,Bedding Sets,144,0.06%,25.69%,4.17%,0.69%
Wayfair US,cal king comforter,Bedding Sets,144,0.06%,25%,24.31%,0%
Wayfair US,fall comforter,Bedding Sets,144,0.06%,41.67%,32.64%,28.47%
Wayfair US,comforter king,Bedding Sets,143,0.05%,65.04%,52.45%,24.48%
Wayfair US,oversized cal king quilts,Bedding Sets,143,0.05%,37.06%,36.36%,34.97%
Wayfair US,king size bedspread,Bedding Sets,143,0.05%,46.15%,28.67%,8.39%
Wayfair US,purple quilt,Bedding Sets,142,0.05%,82.39%,76.76%,44.37%
Wayfair US,white quilt set,Bedding Sets,142,0.05%,42.96%,35.21%,21.13%
Wayfair US,french country,Bedding Sets,142,0.05%,2.82%,2.11%,1.41%
Wayfair US,french country bedding,Bedding Sets,141,0.05%,64.54%,44.68%,14.18%
Wayfair US,floral comforter,Bedding Sets,139,0.05%,17.27%,9.35%,1.44%
Wayfair US,queen bed quilt,Bedding Sets,139,0.05%,56.83%,43.17%,12.23%
Wayfair US,kids comforter,Bedding Sets,138,0.05%,26.09%,25.36%,21.74%
Wayfair US,king bedding sets,Bedding Sets,138,0.05%,49.28%,32.61%,9.42%
Wayfair US,orange comforter set,Bedding Sets,137,0.05%,84.67%,76.64%,49.64%
Wayfair US,queen size bed spreads,Bedding Sets,136,0.05%,48.53%,36.76%,8.82%
Wayfair US,yellow quilt,Bedding Sets,135,0.05%,68.15%,57.04%,26.67%
Wayfair US,cotton duvet cover,Bedding Sets,135,0.05%,7.41%,2.22%,0.74%
Wayfair US,blush bedding,Bedding Sets,135,0.05%,47.41%,33.33%,12.59%
Wayfair US,non slip kitchen chair pads,Furniture Cushions,134,0.34%,21.64%,0.75%,0%
Wayfair US,dog couch,Dog Beds & Mats,134,0.64%,1.49%,0%,0%
Wayfair US,100 cotton comforter set queen,Bedding Sets,134,0.05%,22.39%,7.46%,2.24%
Wayfair US,comforter sets queen,Bedding Sets,134,0.05%,44.03%,34.33%,24.63%
Wayfair US,cream bedding,Bedding Sets,134,0.05%,60.45%,59.7%,5.22%
Wayfair US,gray quilt,Bedding Sets,134,0.05%,68.66%,58.96%,33.58%
Wayfair US,twin comforters,Bedding Sets,134,0.05%,64.93%,54.48%,30.6%
Wayfair US,navy blue comforter sets,Bedding Sets,133,0.05%,60.9%,49.62%,30.83%
Wayfair US,oversized king coverlet,Bedding Sets,133,0.05%,59.4%,45.86%,22.56%
Wayfair US,light blue comforter set,Bedding Sets,133,0.05%,60.9%,53.38%,28.57%
Wayfair US,full size quilt,Bedding Sets,133,0.05%,37.59%,33.83%,4.51%
Wayfair US,full bed comforter,Bedding Sets,133,0.05%,54.14%,44.36%,6.77%
Wayfair US,microfiber comforter set,Bedding Sets,132,0.05%,79.55%,71.97%,60.61%
Wayfair US,fluffy comforter,Bedding Sets,131,0.05%,83.97%,74.81%,59.54%
Wayfair US,boho quilt,Bedding Sets,131,0.05%,23.66%,15.27%,2.29%
Wayfair US,7 piece comforter set,Bedding Sets,131,0.05%,43.51%,27.48%,20.61%
Wayfair US,king bed quilt,Bedding Sets,130,0.05%,71.54%,56.15%,13.08%
Wayfair US,cotton throw,Blankets And Throws,129,0.44%,10.08%,2.33%,0.78%
Wayfair US,girls comforter set,Bedding Sets,129,0.05%,48.06%,41.09%,31.01%
Wayfair US,gray comforter set,Bedding Sets,129,0.05%,59.69%,44.19%,24.81%
Wayfair US,charcoal gray comforter sets,Bedding Sets,128,0.05%,79.69%,77.34%,73.44%
Wayfair US,floral comforter set,Bedding Sets,127,0.05%,31.5%,25.98%,0%
