Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"May 14, 2022","May 14, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,cotton quilt king,29,1,3.4483%,$0.45,$0.45,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 12, 2022","May 12, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,forest green king size quilt,4,1,25.0000%,$0.57,$0.57,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 14, 2022","May 14, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,green cotton quilt king size,6,1,16.6667%,$0.59,$0.59,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 15, 2022","May 15, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king quilts for the bed,12,1,8.3333%,$0.50,$0.50,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 14, 2022","May 14, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king size green quilt,6,1,16.6667%,$0.52,$0.52,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 09, 2022","May 09, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,light cotton quilts king size,3,1,33.3333%,$0.89,$0.89,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 12, 2022","May 12, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,patchwork medium weight quilts for king,11,1,9.0909%,$0.65,$0.65,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 14, 2022","May 14, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,pick stitch quilt king,2,1,50.0000%,$0.59,$0.59,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 10, 2022","May 10, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,quilts king size clearance,17,1,5.8824%,$0.80,$0.80,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 12, 2022","May 12, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,solid costa sera king quilt,7,1,14.2857%,$0.55,$0.55,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 12, 2022","May 12, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,tufted quilt king,13,1,7.6923%,$0.65,$0.65,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 10, 2022","May 10, 2022",Quilt Set,USD,1702 TEIKA,Generic,queen quilt,BROAD,bed quilts queen size,2,1,50.0000%,$0.95,$0.95,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 09, 2022","May 09, 2022",Quilt Set,USD,1702 TEIKA,Generic,queen quilt,BROAD,blue and brown queen quilt,3,2,66.6667%,$1.05,$2.10,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 11, 2022","May 11, 2022",Quilt Set,USD,1702 TEIKA,Generic,queen quilt,BROAD,blue green queen quilt,1,1,100.0000%,$0.86,$0.86,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 14, 2022","May 14, 2022",Quilt Set,USD,1702 TEIKA,Generic,queen quilt,BROAD,cooling queen quilt set,1,1,100.0000%,$0.53,$0.53,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
