Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"Apr 23, 2022","Apr 23, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,b09mvsfjfg,1,1,100.0000%,$0.41,$0.41,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 23, 2022","Apr 24, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,b09p8w35ct,14,2,14.2857%,$0.40,$0.80,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 19, 2022","Apr 19, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,b09pqn8znk,18,1,5.5556%,$0.51,$0.51,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 24, 2022","Apr 24, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,b09pypyrmg,146,1,0.6849%,$0.41,$0.41,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 18, 2022","Apr 18, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,b09qgkhh43,9,1,11.1111%,$0.44,$0.44,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 21, 2022","Apr 21, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,b09qysqcmh,2,2,100.0000%,$0.44,$0.88,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 23, 2022","Apr 23, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,b09sf6sw3r,18,1,5.5556%,$0.41,$0.41,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 20, 2022","Apr 20, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,b09tbppwvc,10,1,10.0000%,$0.41,$0.41,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 20, 2022","Apr 20, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,b09tcqx198,2,1,50.0000%,$0.45,$0.45,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 21, 2022","Apr 21, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,bedding queen size with embroidery,1,1,100.0000%,$0.31,$0.31,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 21, 2022","Apr 21, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,bedspreads for king beds,1,1,100.0000%,$0.31,$0.31,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 18, 2022","Apr 18, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,blue king size quilts and bedspreads,8,1,12.5000%,$0.37,$0.37,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 18, 2022","Apr 18, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,cabin bedding twin,1,1,100.0000%,$0.37,$0.37,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 18, 2022","Apr 18, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,cal king quilt,1,1,100.0000%,$0.37,$0.37,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 19, 2022","Apr 19, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,cottagecore,1,1,100.0000%,$0.34,$0.34,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 18, 2022","Apr 24, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,cottagecore quilt,9,2,22.2222%,$0.49,$0.98,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 18, 2022","Apr 18, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,cotton quilt twin size,16,1,6.2500%,$0.37,$0.37,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 24, 2022","Apr 24, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,country quilts twin,1,1,100.0000%,$0.14,$0.14,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 24, 2022","Apr 24, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,country style bed quilts,6,1,16.6667%,$0.22,$0.22,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 22, 2022","Apr 22, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,eddie bauer bedspreads,2,1,50.0000%,$0.32,$0.32,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 18, 2022","Apr 18, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,embroidered quilt,5,1,20.0000%,$0.37,$0.37,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 18, 2022","Apr 18, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,floral bedspreads king size,1,1,100.0000%,$0.37,$0.37,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 20, 2022","Apr 20, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,greenland bedspreads king size,2,1,50.0000%,$0.34,$0.34,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 18, 2022","Apr 18, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,greenland home,43,2,4.6512%,$0.25,$0.50,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 24, 2022","Apr 24, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,greenland home fashion,4,1,25.0000%,$0.32,$0.32,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 19, 2022","Apr 22, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,greenland home fashions,16,2,12.5000%,$0.35,$0.69,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 23, 2022","Apr 23, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,greenland quilts,1,1,100.0000%,$0.48,$0.48,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 18, 2022","Apr 18, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,grey quilt queen,1,1,100.0000%,$0.37,$0.37,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 19, 2022","Apr 19, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,homemade quilts,1,1,100.0000%,$0.34,$0.34,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 18, 2022","Apr 18, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,ivory print quilts,4,1,25.0000%,$0.23,$0.23,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 22, 2022","Apr 22, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,king cotton wuilt,3,1,33.3333%,$0.16,$0.16,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 21, 2022","Apr 21, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,king size quilts summer,1,1,100.0000%,$0.29,$0.29,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 18, 2022","Apr 18, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,multi fabric blanket,1,1,100.0000%,$0.37,$0.37,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 24, 2022","Apr 24, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,navy and mint bedding,2,1,50.0000%,$0.20,$0.20,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 21, 2022","Apr 21, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,patch work quilt,2,1,50.0000%,$0.46,$0.46,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 23, 2022","Apr 23, 2022",oversize cotton quilt set,USD,1903,Ad group 1,*,-,patchwork quilt kids,2,1,50.0000%,$0.32,$0.32,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
