"Matched product ","Product targets","Added as","Impressions","Clicks","CTR","Spend(USD)","CPC(USD)","Orders","Sales(USD)","ACOS","ROAS","Conversion rate"
"120 x 128 bedspread","bedspread","","3","1","33.33",0.38,0.38,"0",0,,"0.0","0.0"
"bed quilt king fit","bed quilt","","3","1","33.33",0.3,0.3,"0",0,,"0.0","0.0"
"black king quilt bedding set crushed velvet","quilt bedding set","","2","1","50.00",0.48,0.48,"0",0,,"0.0","0.0"
"black bedspread king","bedspread","","28","6","21.43",1.93,0.32,"0",0,,"0.0","0.0"
"beige king quilt bedding set","quilt bedding set","","25","1","4.00",0.7,0.7,"1",69.99,"1.0001428775539363","99.98571428571428","100.0"
"bed comforter king size","comforter king size","","2","1","50.00",0.41,0.41,"0",0,,"0.0","0.0"
"black luxury velvet plush bedspread set","bedspread","","1","1","100.00",0.26,0.26,"0",0,,"0.0","0.0"
"3 pc red quilted bedspread - king","bedspreads king","","6","1","16.67",0.36,0.36,"0",0,,"0.0","0.0"
"black purple king bedspreads","bedspreads king","","20","3","15.00",1.56,0.52,"0",0,,"0.0","0.0"
"bedspreads king lodge","bedspreads king","","13","1","7.69",0.58,0.58,"0",0,,"0.0","0.0"
"bed set that dosent pill","bed sets","","1","1","100.00",0.12,0.12,"0",0,,"0.0","0.0"
"black king comforter velvet quilt","velvet king comforter","","6","1","16.67",0.42,0.42,"0",0,,"0.0","0.0"
"bedspread double size","bedspread","","3","1","33.33",0.32,0.32,"0",0,,"0.0","0.0"
"beige quilts king size","beige quilt king","","962","6","0.62",3.77,0.63,"0",0,,"0.0","0.0"
"bed velvet bedspread blue","bedspread","","2","1","50.00",0.27,0.27,"1",59.99,"0.4500750125020837","222.1851851851852","100.0"
"bedspread comforter","bedspread","","37","1","2.70",0.28,0.28,"0",0,,"0.0","0.0"
"bedspread velvet","bedspread","Keyword: phrase","11","3","27.27",0.86,0.29,"1",54.99,"1.563920712856883","63.94186046511627","33.33333333333333"
"blue king bedding set","king bedding","","1","1","100.00",0.34,0.34,"0",0,,"0.0","0.0"
"black ivory blue bedspread","bedspread","","1","1","100.00",0.32,0.32,"0",0,,"0.0","0.0"
"100% cotton king size bedspread","bedspreads king","","2","1","50.00",0.52,0.52,"0",0,,"0.0","0.0"
"black with buttons bedspread","bedspread","","2","1","50.00",0.3,0.3,"0",0,,"0.0","0.0"
"bedspreads queen size clearance","bedspread","","737","11","1.49",3.66,0.33,"0",0,,"0.0","0.0"
"bedspread 90 x 108","bedspread","","1","1","100.00",0.29,0.29,"0",0,,"0.0","0.0"
"bedspreads for grey room","bedspread","","12","1","8.33",0.37,0.37,"0",0,,"0.0","0.0"
"black full bedspread","bedspread","","4","1","25.00",0.34,0.34,"0",0,,"0.0","0.0"
"bedspreads red velvet","bedspread","","1","1","100.00",0.32,0.32,"0",0,,"0.0","0.0"
"bedspread amazon","bedspread","","126","6","4.76",1.76,0.29,"0",0,,"0.0","0.0"
"bedspread queen mauve size","bedspread","","1","1","100.00",0.18,0.18,"1",54.99,"0.3273322422258592","305.5","100.0"
"bedspread velour queen size","bedspread","","2","1","50.00",0.29,0.29,"0",0,,"0.0","0.0"
"bedspread king clearance","bedspreads king","","5","1","20.00",0.52,0.52,"0",0,,"0.0","0.0"
"all season king size quilt bedding set","quilt bedding set","","8","1","12.50",0.7,0.7,"0",0,,"0.0","0.0"
"black velvet king comforter","velvet king comforter","","108","4","3.70",1.32,0.33,"0",0,,"0.0","0.0"
