"Matched product ","Product targets","Added as","Impressions","Clicks","CTR","Spend(USD)","CPC(USD)","Orders","Sales(USD)","ACOS","ROAS","Conversion rate"
"black velvet comforter","velvet comforter","","5","1","20.00",0.12,0.12,"0",0,,"0.0","0.0"
"baby blue bedspread","bedspread","","5","1","20.00",0.36,0.36,"0",0,,"0.0","0.0"
"bedspread king size","bedspread","","37","4","10.81",1.14,0.28,"0",0,,"0.0","0.0"
"alyssa velvet comforter set","velvet comforter","","1","1","100.00",0.07,0.07,"0",0,,"0.0","0.0"
"bed spread queen sized black","bed spread queen sized","","13","1","7.69",0.33,0.33,"0",0,,"0.0","0.0"
"bedspreads king size clearance sets 120 by 110","bedspread","","4","1","25.00",0.28,0.28,"0",0,,"0.0","0.0"
"amazon basics bedspread king","bedspread","","1","1","100.00",0.35,0.35,"1",59.99,"0.5834305717619602","171.4","100.0"
"bedspread king size clearance","bedspreads king","","35","1","2.86",0.4,0.4,"0",0,,"0.0","0.0"
"black soft plush bedspread","bedspread","","4","1","25.00",0.31,0.31,"0",0,,"0.0","0.0"
"bedspreads full size clearance","bedspread","","6","1","16.67",0.36,0.36,"0",0,,"0.0","0.0"
"black velvet comforter king size","velvet king comforter","","11","1","9.09",0.47,0.47,"0",0,,"0.0","0.0"
"black bedspread washable","bedspread","","1","1","100.00",0.37,0.37,"0",0,,"0.0","0.0"
"bedspread set queen sz grey auqua","queen bedspreads sets","","3","1","33.33",0.42,0.42,"0",0,,"0.0","0.0"
"bedspread 135” by 113” washable taupe","bedspread","","1","1","100.00",0.3,0.3,"0",0,,"0.0","0.0"
"bedspread queen size dark purple velour","bedspread","","85","3","3.53",0.6,0.2,"0",0,,"0.0","0.0"
"blue velvet bedspread","bedspread","Keyword: phrase","4","1","25.00",0.12,0.12,"0",0,,"0.0","0.0"
"black quilted velvet comforter king","velvet king comforter","","24","4","16.67",1.64,0.41,"0",0,,"0.0","0.0"
"120x120 velvet king","velvet king","","2","1","50.00",0.22,0.22,"0",0,,"0.0","0.0"
"adorable queen size bedding","queen size bedding","","5","1","20.00",0.29,0.29,"0",0,,"0.0","0.0"
"bedspreads and comforter sets king sz","bedspread","","5","1","20.00",0.3,0.3,"0",0,,"0.0","0.0"
"blue velvet bedspread king","velvet bedspread king","","2","1","50.00",0.69,0.69,"0",0,,"0.0","0.0"
"100% cotton bedspread bedding","bedspread","","1","1","100.00",0.17,0.17,"0",0,,"0.0","0.0"
"110 x 104 velvet bedspread set","bedspread","","1","1","100.00",0.28,0.28,"0",0,,"0.0","0.0"
"20 24 king bedding sets","king bedding","","6","1","16.67",0.35,0.35,"0",0,,"0.0","0.0"
"beige quilt king cotton","beige quilt king","","7","1","14.29",0.7,0.7,"0",0,,"0.0","0.0"
"bedspreads queen size brown","bedspread","","3","1","33.33",0.27,0.27,"0",0,,"0.0","0.0"
